id,machine_id,name,mobile_no,vechile_no,address,ssid,password,rf_id1,rf_id2,created_on,dealer
80,6,name,1234567890,123,"(&#x27;delhi&#x27;,)",sbsy,nm914460,3C00C1D1CDE1,3C00C1D1CDE1,2021-02-18 12:19:17.960873+00:00,sbsy
81,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3C00C1D1CD11,3C00C1D1CD12,2021-02-18 12:22:07.650125+00:00,sbsy
82,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,None,3C00C1D1CD12,2021-02-18 12:25:09.019964+00:00,sbsy
83,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,None,3C00C1D1CD12,2021-02-18 12:50:29.777282+00:00,sbsy
84,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-18 12:53:38.976172+00:00,sbsy
85,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-18 13:03:17.857078+00:00,sbsy
86,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-18 13:10:04.271899+00:00,sbsy
87,4,name,1234567890,123,"(&#x27;(&amp;#x27;delhi&amp;#x27;,)&#x27;,)",sbsy,nm914460,None,None,2021-02-24 11:30:32.617805+00:00,sbsy
88,4,name,1234567890,123,"(&#x27;(&amp;#x27;delhi&amp;#x27;,)&#x27;,)",sbsy,nm914460,None,None,2021-02-24 11:31:12.203118+00:00,sbsy
89,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:31:48.838495+00:00,sbsy
90,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:36:03.223050+00:00,sbsy
91,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:37:51.987726+00:00,sbsy
92,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:38:30.408815+00:00,sbsy
93,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:40:14.337527+00:00,sbsy
94,6,name,1234567890,123,delhi bederpur,sbsy,nm914460,3B00A867EB1F,3B00A8838A9A,2021-02-24 11:40:25.277806+00:00,sbsy
