id,action_time,user,content_type,object_id,object_repr,action_flag,change_message
436,2021-03-20 07:05:39.028455+00:00,alok,school | busmap,8,busmap object (8),1,"[{""added"": {}}]"
435,2021-03-20 07:03:06.964997+00:00,alok,school | busmap,7,busmap object (7),2,"[{""changed"": {""fields"": [""Date""]}}]"
434,2021-03-20 07:02:52.593677+00:00,alok,school | busmap,6,busmap object (6),2,"[{""changed"": {""fields"": [""Date""]}}]"
433,2021-03-20 07:02:38.487867+00:00,alok,school | busmap,5,busmap object (5),2,"[{""changed"": {""fields"": [""Date""]}}]"
432,2021-03-20 07:02:26.050884+00:00,alok,school | busmap,4,busmap object (4),2,"[{""changed"": {""fields"": [""Date""]}}]"
431,2021-03-20 07:02:12.553827+00:00,alok,school | busmap,3,busmap object (3),2,"[{""changed"": {""fields"": [""Date""]}}]"
430,2021-03-20 07:01:49.547055+00:00,alok,school | busmap,2,busmap object (2),2,"[{""changed"": {""fields"": [""Date""]}}]"
429,2021-03-20 07:01:15.735042+00:00,alok,school | busmap,1,busmap object (1),2,"[{""changed"": {""fields"": [""Date""]}}]"
428,2021-03-20 02:21:57.320988+00:00,alok,school | school master,33,R.K Public Middle School sbsy33,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
427,2021-03-20 02:14:06.982545+00:00,alok,school | school master,33,R.K Public Middle School sbsy33,2,"[{""changed"": {""fields"": [""Principal sign image""]}}]"
426,2021-03-20 02:11:18.564988+00:00,alok,school | school master,33,R.K Public Middle School sbsy33,2,[]
425,2021-03-18 12:06:01.865245+00:00,alok,school | busmap,7,busmap object (7),1,"[{""added"": {}}]"
424,2021-03-18 12:04:33.095468+00:00,alok,school | busmap,6,busmap object (6),1,"[{""added"": {}}]"
423,2021-03-18 12:00:54.203780+00:00,alok,school | busmap,5,busmap object (5),1,"[{""added"": {}}]"
422,2021-03-18 11:59:16.118560+00:00,alok,school | busmap,4,busmap object (4),1,"[{""added"": {}}]"
421,2021-03-18 11:56:40.245369+00:00,alok,school | busmap,3,busmap object (3),1,"[{""added"": {}}]"
420,2021-03-18 11:50:53.114186+00:00,alok,school | busmap,2,busmap object (2),1,"[{""added"": {}}]"
419,2021-03-18 11:48:00.673244+00:00,alok,school | busmap,1,busmap object (1),1,"[{""added"": {}}]"
418,2021-03-17 15:12:51.977549+00:00,alok,school | staff master,498,Rupa rani,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
417,2021-03-17 15:12:11.087439+00:00,alok,school | staff master,497,Pradeep gupta,2,"[{""changed"": {""fields"": [""Staff card number""]}}]"
