staff_user,staff_user_name,staff_First_name,staff_Last_name,staff_gender,staff_date_of_birth,staff_email,staff_mobile,staff_qualification,staff_blood_group,staff_image,staff_Address,staff_city,staff_pincode,staff_Religion,staff_subject,staff_medium_name,staff_class_name,staff_division_name,staff_card_number,staff_school_code,password,created_on,created_by
mohit@gmail.com,9136341262,mohit tiwari,None,Male,03/02/1998,mohit@gmail.com,9136341262,b.a,A+,images/screenshot.png,badarpur,delhi,110044,Hindu,Math,English,8,A,None,demo1,None,2021-02-01 09:20:54+00:00,None
ramsevak1988@gmail.com,9050725826,Sapna,None,Female,20/04/1996,ramsevak1988@gmail.com,8930501000,"B.A,B.ed",A+,images/photo_2021-02-01_15-42-10.jpg,Rundhi5,Palwal,121105,Hindu,all subject,English,8,A,0B00241A7045,s003,None,2021-02-01 10:10:46+00:00,None
aa2668663@gmail.com,9873399655,Aruna ,None,Female,02/02/1987,aa2668663@gmail.com,9873399655,Bed,,images/IMG-20201018-WA0009_smahXiU.jpg,Rundhi,Palwal,121105,Hindu,Hindi,English,8,A,2B002A7F3F41,s003,None,2021-02-04 01:43:12+00:00,None
manjubala040773@gmail.com,8930216725,Manju Bala,None,Female,04/07/1973,manjubala040773@gmail.com,8930216725,10th,None,images/IMG-20210204-WA0001.jpg,Ladiyaka,Palwal,121105,Hindu,English,English,U.K.G,A,270019319F90,s003,None,2021-02-04 02:33:49+00:00,None
satyaveershandila@gmail.com,9255276804,Satyaveer ,None,Male,10/05/1978,satyaveershandila@gmail.com,9255276804,B.A. Bed,O+,images/IMG_20201018_174858.jpg,Ladiyaka,Palwal,121105,Hindu,Math,English,8,A,2B00294CDF91,s003,None,2021-02-04 06:20:37+00:00,None
tkt@gmail.com,6205945122,Sf T,None,Male,11/02/2021,tkt@gmail.com,6205945122,T,A+,images/IMG-20210207-WA0030.jpg,Dg,Ty,65,Hindu,None,English,6,B,None,demo1,12345,2021-02-07 16:27:14+00:00,None
rajeshkumari100183@gmail.com,rajeshkumari100183@gmail.com,Rajesh kumari,None,Female,10/01/1983,rajeshkumari100183@gmail.com,8053304032,B.A,A+,images/IMG_20210204_130853_6Xa8rSt.jpg,Ladiyaka,Palwal,121105,Hindu,None,English,4,A,27001930CFC1,s003,12345,2021-02-08 12:39:37+00:00,None
tanwarhema478@gmail.com,tanwarhema478@gmail.com,Hemlata,None,Female,06/04/1989,tanwarhema478@gmail.com,9306810082,B.A,A+,images/photo_2021-02-01_15-41-47_TCJex9D.jpg,Deeghot,Palwal,121105,Hindu,None,English,3,A,2E002515253B,s003,12345,2021-02-08 12:50:46+00:00,None
Nehawife12345@gmail.com,Nehawife12345@gmail.com,Mukesh kumar Singh,None,Male,03/12/2015,Nehawife12345@gmail.com,7292959314,B A,A-,images/IMG-20210208-WA0016.jpg,Vill parsauni khas,Gopalganj,841438,Hindu,None,English,L.K.G,B,None,st001,12345,2021-02-10 13:36:38+00:00,None
manoj254@gmail.com,manoj254@gmail.com,Manoj bhardwaj,None,Male,19/11/1997,manoj254@gmail.com,7739970391,Graduate,A+,images/16130202175307757756179589672869.jpg,sasamusa,gopalganj,841505,Hindu,None,English,10,A,None,m001,12345,2021-02-11 05:10:35+00:00,None
